列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
kaisai_nen,4,varchar(4),[NULL],default,true,[NULL],開催年
kaisai_tsukihi,5,varchar(4),[NULL],default,true,[NULL],開催月日
yobi_1,6,varchar(2),[NULL],default,false,[NULL],予備
race_joho_1,7,varchar(8),[NULL],default,false,[NULL],重勝式対象レース情報1
race_joho_2,8,varchar(8),[NULL],default,false,[NULL],重勝式対象レース情報2
race_joho_3,9,varchar(8),[NULL],default,false,[NULL],重勝式対象レース情報3
race_joho_4,10,varchar(8),[NULL],default,false,[NULL],重勝式対象レース情報4
race_joho_5,11,varchar(8),[NULL],default,false,[NULL],重勝式対象レース情報5
yobi_2,12,varchar(6),[NULL],default,false,[NULL],予備
win5_hyosu_gokei,13,varchar(11),[NULL],default,false,[NULL],重勝式発売票数
yuko_hyosu_1,14,varchar(11),[NULL],default,false,[NULL],有効票数情報1
yuko_hyosu_2,15,varchar(11),[NULL],default,false,[NULL],有効票数情報2
yuko_hyosu_3,16,varchar(11),[NULL],default,false,[NULL],有効票数情報3
yuko_hyosu_4,17,varchar(11),[NULL],default,false,[NULL],有効票数情報4
yuko_hyosu_5,18,varchar(11),[NULL],default,false,[NULL],有効票数情報5
henkan_flag,19,varchar(1),[NULL],default,false,[NULL],返還フラグ
fuseiritsu_flag,20,varchar(1),[NULL],default,false,[NULL],不成立フラグ
tekichu_nashi_flag,21,varchar(1),[NULL],default,false,[NULL],的中無フラグ
carry_over,22,varchar(15),[NULL],default,false,[NULL],キャリーオーバー金額初期
carry_over_zandaka,23,varchar(15),[NULL],default,false,[NULL],キャリーオーバー金額残高
haraimodoshi_win5_001,24,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報1
haraimodoshi_win5_002,25,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報2
haraimodoshi_win5_003,26,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報3
haraimodoshi_win5_004,27,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報4
haraimodoshi_win5_005,28,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報5
haraimodoshi_win5_006,29,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報6
haraimodoshi_win5_007,30,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報7
haraimodoshi_win5_008,31,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報8
haraimodoshi_win5_009,32,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報9
haraimodoshi_win5_010,33,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報10
haraimodoshi_win5_011,34,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報11
haraimodoshi_win5_012,35,varchar(29),[NULL],default,false,[NULL],重勝式払戻情報12
